This chunk is from the HTML file: Database_Changes_V18.0_to_V19.0.htm.
 Section heading: The following columns have been removed:.
 Text content: .
 Table data: 
| Table Name | Column 
		 Name |
| --- | --- |
| COMM_SCHEDULE_HEADER | TRAN_VERSION_NUM |
| COMM_SCHEDULE_HEADER_BCP | TRAN_VERSION_NUM |
| GAS_PHYS_PARAM | IRM_TS_RELEVANT |
| GAS_PHYS_PARAM_H | IRM_TS_RELEVANT |
| MOT_VARIABLE_SETTINGS | ALLOW_INTERMEDIATE_MEASURE |
| MOT_VARIABLE_SETTINGS | ENFORCE_VAL_POOL_RESTRICTION |
| MOT_VARIABLE_SETTINGS_H | ALLOW_INTERMEDIATE_MEASURE |
| MOT_VARIABLE_SETTINGS_H | ENFORCE_VAL_POOL_RESTRICTION |
| PWR_PHYS_PARAM | IRM_TS_RELEVANT |
| PWR_PHYS_PARAM_H | IRM_TS_RELEVANT |.
