This chunk is from the HTML file: OLF_ANE_Message_Types.htm.
 Section heading: Message Types.
 Text content: .
 Table data: 
| ID Number | Name | Description |
| --- | --- | --- |
| 19 | AU_GAS_PHYS_VALUE_POOL_UPDATE | This message type is for OpenLink internal use only. |
| 20 | AU_GAS_PHYS_VAL_ADJ_SCHED_UPDATE | This message type is for OpenLink internal use only. |
| 32 | AU_NOMINATION_INSERT | Message and updates get generated when a nomination record is inserted or changed |
| 21 | AU_STATIC_TABLE_UPDATE | This message type is for OpenLink internal use only. |
| 31 | CFLOW_TYPE_UPDATE | This message type is for OpenLink internal use only. |
| 24 | DATE_SEQUENCE_UPDATE | This message type is for OpenLink internal use only. |
| 13 | GAS_PHYS_CONNECTION_UPDATE | This message type is for OpenLink internal use only. |
| 15 | GAS_PHYS_CRITERIA_UPDATE | This message type is for OpenLink internal use only. |
| 12 | GAS_PHYS_LOCATION_UPDATE | This message type is for OpenLink internal use only. |
| 14 | GAS_PHYS_LOC_TYPE_UPDATE | This message type is for OpenLink internal use only. |
| 10 | GAS_PHYS_PIPELINE_UPDATE | This message type is for OpenLink internal use only. |
| 17 | GAS_PHYS_POSITION_UPDATE | This message type is for OpenLink internal use only. |
| 9 | GAS_PHYS_RATE_UPDATE | This message type is for OpenLink internal use only. |
| 11 | GAS_PHYS_ZONES_UPDATE | This message type is for OpenLink internal use only. |
| 26 | GEOGRAPHIC_LOCATION_UPDATE | This message type is for OpenLink internal use only. |
| 6 | INDEX_DEF_UPDATE | This message type is for OpenLink internal use only. |
| 8 | INDEX_HIST_UPDATE | Message and updates get generated when an index definition is changed. |
| 18 | INDEX_HOURLY_HIST_UPDATE | This message type is for OpenLink internal use only. |
| 30 | INDEX_LOCATION_UPDATE | This message type is for OpenLink internal use only. |
| 7 | INDEX_MKTD_UPDATE | Message and updates get generated when historical market data is changed and saved. |
| 25 | INDEX_SUBGROUP_UPDATE | This message type is for OpenLink internal use only. |
| 2 | INS_INSERT | This message type is for OpenLink internal use only. |
| 5 | MISC_POS_UPDATE | Message and updates get generated when the position on a repo instrument type changes. |
| 32 | NOM_INSERT | NOM_INSERT |
| 22 | PARTY_DETAIL_UPDATE | This message type is for OpenLink internal use only. |
| 3 | PERPETUAL_POS_UPDATE | Message and updates get generated when the position on a perpetual instrument type changes (e.g. change of FX position). |
| 27 | PERSONNEL_UPDATE | This message type is for OpenLink internal use only. |
| 23 | PORTFOLIO_UPDATE | This message type is for OpenLink internal use only. |
| 29 | PUBLICATION_UPDATE | This message type is for OpenLink internal use only. |
| 28 | REF_SOURCE_UPDATE | This message type is for OpenLink internal use only. |
| 16 | SERVICE_TYPE_UPDATE | This message type is for OpenLink internal use only. |
| 4 | SHARED_POS_UPDATE | Message and updates get generated when the position on a shared instrument type changes (e.g. change of Future (ComFut) position). |
| 1 | TRAN_INSERT | This is what is seen when a trade is processed to a new (different) status.  This is used by the Trade Blotter and Trading Manager Brower and tells them to update.  The message is of type "Table" and contains information about the deal, e.g. COMM-Phys., FX, Offset deals. |.
