This chunk is from the HTML file: OLF_Column_Header_Menu.htm.
 Section heading: Menu Items.
 Text content: Depending upon the window from which the menu is launched, the following items may be available: .
 Table data: 
| Item | Description |
| --- | --- |
| Sort Ascending | Sorts the data in the table using the selected column as the sort key, in ascending order.Alternatively, double-clicking the heading of a column sorts the data in descending order using the column as the primary sort key. Double-clicking it again sorts it in descending order. |
| Sort Descending | Sorts the data in the table using the selected column as the sort key, in descending order.Alternatively, double-clicking the heading of a column sorts the data in ascending order using the column as the primary sort key. Double-clicking it again sorts it in descending order. |
| Remove All Sorts | Clears all the data sorts that had been applied. The data displays in the same way as when the table was originally loaded.Only available in Menu Type 2. |
| Filter Col | Allows users to display only rows that match the selected values. 1 or more values may be selected as filtering criteria.Note:There is a limit to how many unique items can be in the table for the filter to work. If the filter has too many values, the error message “Unable to filter column. Distinct values exceeds maximum” displays. |
| Filter Column Advanced | Displays theFilter Columnwindow. This window provides data filtration functionality that is more advanced than that provided in the “Filter Col” menu item.Only available in Menu Type 2. |
| Remove Col Filter | Removes filtering for the selected column. |
| Remove All Filters | Removes all filters that had been applied to the data. |
| Hide Col | Hides the selected column. |
| Unhide Cols… | Displays all hidden columns. |
| Pin Column | Locks the selected column in place within the table. The unpinned columns continue to scroll.Only available in Menu Type 2. |
| Search Column | Displays theSearchwindow. This window provides the functionality to seek the selected string within the column. |
| Copy | Copies the selected row to the paste buffer. |
| Paste | Places a copy of the selected row in the desired location on the table.Only available in Menu Type 2. |
| Select All | Selects all rows on the table. |
| Auto Size Col | Adjusts the width of the selected column to fit the data. |
| Auto Size All Cols | Adjusts the width of all columns to fit the data. |
| Auto Size All Rows | Adjusts the height of all rows to fit the data. |
| Configure | Selecting this menu item will display theConfigurewindow. This window provides the functionality to configure all aspects of the selected table.Only available in Menu Type 2. |
| ConfigureàQuick Configure | Switches the table intoQuick Configuremode. While in this mode, users can drag columns, remove columns, and set up groups, tree views, filters, and pivots.Only available in Menu Type 1. |
| ConfigureàFull Configure | Opens theConfigure Viewwindow. This allows the user to customize the table.Only available in Menu Type 1. |
| ConfigureàFormulasàEdit Formula | Opens theAdd Formula Columnwindow. This allows the user to edit the selected formula column.Only available in Menu Type 1. |
| ConfigureàFormulasàAdd Formula Column | Opens theAdd Formula Columnwindow. This allows the user to create or add a formula column to the table.Only available in Menu Type 1. |
| ConfigureàFormulasàDelete Formula Column | Deletes the highlighted formula column.Only available in Menu Type 1. |
| ConfigureàFormulasàRecalc Col Formula | Recalculates the selected formula column.Only available in Menu Type 1. |
| ConfigureàFormulasàRecalc All Formulas | Recalculates all formula columns.Only available in Menu Type 1. |
| Save Configuration | Stores the configuration to the database.Only available in Menu Type 2. |
| ReportingàAVSàRun Script | Opens theRun AVS Scriptwindow. This allows the user to select the AVS script to run and the columns (i.e., fields) that will be passed as arguments to the selected script. |
| ReportingàAVSàRun Task | Opens theRun AVS Scriptwindow. This allows the user to select the AVS task to run and the columns that will be passed as arguments to the script that will be run by the task. |
| ReportingàCrystalàCrystal Active Data | Sends the contents of the table to the selected crystal report template. This option displays a file browser allowing the user to select the template of the crystal report that will be generated. |
| ReportingàCrystalàExport To Ttx | Exports a file containing the format of the table for the use of Crystal Reports. |
| ReportingàPublish | Collects the table data and sends it across Tibco Rendezvous. This functionality is provided for connectivity to 3rdparty systems that can also communicate with Tibco Rendezvous. Customers can create a report “listener” that can subscribe to the Tibco Message and receive the data once “published.” |
| ReportingàPivot Table | Opens thePivot Table Setupwindow. This allows the user to create a pivot table. |
| ReportingàMS Excel | Opens theExcel Interfacewindow. This allows the user to export data displayed in the table to a new, open, or existing Excel workbook.Note:This requires that Excel be installed locally on the user’s machine. This functionality looks at values in the user’s local registry. If Excel is not installed locally, this will not work. This will not work if Excel is installed only across a network. |
| ReportingàGraph | Opens theBlotter Graphwindow. This allows the user to organize table data and generate a graph of that data. |
| Print | Prints the current window. |
| ExportàExport to Text File(Menu Type 1)Import/ExportàExport to Text File(Menu Type 2) | Exports the contents of the table to a file in comma-separated format.NOTE: In V9.1r1 and below, Menu Type 1 was named Import/Export and included an option to “Import Text File.” |
| ExportàExport to XML File(Menu Type 1)Import/ExportàExport to XML File(Menu Type 2) | Exports the contents of the table to a file in XML format.NOTE: In V9.1r1 and below, Menu Type 1 was named Import/Export and included an option to “Import Text File.” |
| Save | Stores the current table configuration to the database.Only available in Menu Type 1. |
| Sub-Totals | This is non-functional.Only available in Menu Type 1. |
| Maximize View | Expands the selected table to fully occupy the window from which it originates. |
| Restore View | This selection is active only when a table has been expanded to occupy the window. Select this menu item to return the table to its original size and location within the window. |.
