This chunk is from the HTML file: OLF_Crystal_Reports_Master.htm.
 Section heading: Menu Items.
 Text content: This window has the following menu items: .
 Table data: 
| Menu | Item | Description |
| --- | --- | --- |
| File | Open Report | Allows the user to select a report saved in the crystal report format (.rpt). |
|  | Open Viewer | Opens theCrystal Report Viewerwindow. |
|  | New Crystal Task | Clears all fields and check boxes.  This allows entry of data for a new Crystal Task. |
|  | Load Crystal Task | Allows the user to select a saved Crystal Task and load it on screen. |
|  | Save Crystal Task | Saves the displayed information on screen to the database as a Crystal Task.  The system assigns a unique Crystal Task ID when a Crystal Task is saved. |
|  | Save Crystal Task As | Saves the information displayed on screen to the database as a new Crystal Task (i.e., a new unique Crystal Task ID is assigned). |
|  | Delete Crystal Task | Deletes a Crystal Task from the database. Load the Crystal Task on screen and select this option to delete it. |
|  | Print Screen | Prints the current window. |
|  | Close All Report Windows | Cancels and closes all openCrystal Report Viewerwindows. |
|  | Exit | Closes this window and all report viewing windows. |
| SQL Query |  | The options on this menu can be used to manipulate the SQL query statements associated with the report. A Crystal report can be loaded directly or via a saved Crystal Task. |
|  | View SQL Query | Allows privileged users to view the SQL query statements associated with the currently loaded report. |
|  | Edit SQL Query | Allows privileged users to edit the SQL query statements associated with the currently loaded report.  Changes the SQL query to the query string supplied as a parameter. Use this function to update the SQL query that will be used to print the report, typically to add optimizations to theWHEREclause.Any changes made are only in effect for the current session (e.g. The SQL query changes made while this option is in usecannotbe saved with the report).Note:TheSelectclause of the SQL statement using this option cannot be modified. |
|  | Import SQL Query | Allows privileged users to import SQL query statements from a text file.  TheFROM,WHERE, andORDER BYclauses of the currently loaded report are overwritten by the imported query.  TheSELECTclause is not affected.  The new query statements are only in effect for the current session. |
|  | Export SQL Query | Allows privileged users to export the SQL query statements associated with the currently loaded report to a text file. |
| Selection Formula |  | The options on this menu can be used to view or edit the selection formula association with the loaded report. |
|  | View Selection Formula | Allows privileged users to view the Crystal-defined selection formula associated with the currently loaded report. |
|  | Edit Selection Formula | Allows privileged users to edit the Crystal-defined selection formula associated with the currently loaded report. Changes the selection formula to the formula string supplied as a parameter. This function can be used by itself to replace a known record selection formula. Example: {ab_tran.tran_num} > 21335.Changes are only in effect for the current session. |
| Query ID |  | When a query is executed through one of the system query utilities, a unique query ID is assigned.  This query ID, and the unique IDs of the items selected through the query, are saved in a table called query_result.  The query_result table is used in system ad-hoc reports to select data for the report.  The options on this menu pertain to the query_result table. |
|  | View Query ID | Displays the query ID that is passed to the Crystal Reports if the Ad-Hoc Report property is selected. |
|  | View Query Results | Displays a list containing the unique IDs of items that were selected by executing a system query.  If the Ad-Hoc Report property is selected, this list is passed to Crystal Reports. |
| Report | Report Summary | Displays the report summary information for the currently loaded report (Author, Title, Subject, Keywords,andComments). |
|  | Report Information | Displays information (e.g.,Author, Number of Pages) related to the currently loaded report. |
| Options | Display Mode | Toggles between two different window display modes.  Use this option to display (or remove) a pick list indicator on pick list fields. |
| Help | System Help | Displays information about this window. |
|  | Engine Version | Displays the current version of the Crystal Print Engine. |
|  | Help | Displays theHelpwindow. |
|  | Crystal Report Help | Opens the Crystal Reports help file, crw.hlp, from the user’s sysdir.  (This file must be placed in the sysdir of the user’s system directory structure to make Crystal Reports help available from this menu.) |
|  | Crystal Reports About | Displays information on the Crystal Reports version. |
|  | About | Opens theAboutwindow. |.
