This chunk is from the HTML file: OLF_Directory_Browser.htm.
 Section heading: View by File Tab.
 Text content: This tab contains the following additional fields:  This tab contains the following fields:  .
 Table data: 
| Field | Description |
| --- | --- |
| Name | Name of the file.Database Table.Column: dir_node.node_name |
| Type | Type of file, e.g., task, script, query, screen configuration, etc.Database Table.Column: dir_node.node_type |
| Owner | User ID of person who controls or owns the file.Database Table.Column: dir_node.owner |
| Security Group | The security group who controls the file. This group has special privileges over and above the privilege defined for the “public”.Database Table.Column: dir_node.group_id |
| Category | Category of the file. The category depends on the file type.Database Table.Column: dir_node.category |
| Other Category | The other category of the file. |
| Directory | The directory or folder in which the file is located. |
| Id | The sequence number of the file.Database Table.Column: dir_node.client_data_id |
| User Permissions | Permissions granted to the owner of the file.Database Table.Column: dir_node.user_permiss |
| Group Permissions | Permissions granted to the security group.Database Table.Column: dir_node.group_permiss |
| Public Permissions | Permissions granted to all users (i.e., the public) of the file.Database Table.Column: dir_node.public_permiss |
| Updated By | The User ID of the person who last updated the file.Database Table.Column: dir_node.update_user_id |
| last_update | The date and time the file was last updated.Database Table.Column: dir_node.last_update |
| Version | The version number of the file. The version number is incremented to 1 whenever the properties of the file is modified and saved.Database Table.Column: dir_node.version |
| Toolset/Grouping | The ID number of the toolset in which the file applies.Database Table.Column: dir_node.grouping |
| node_id | The ID number of the file.Database Table.Column: dir_node.node_id |
| parent_node_id | The ID number of the directory where the file resides.Database Table.Column: dir_node.parent_node_id |.
