This chunk is from the HTML file: OLF_Openlink_Central.htm.
 Section heading: Security Privileges.
 Text content: The following security privileges are applicable to configuration of the OpenLink Central Console. The appropriate privileges must be enabled to provide the administrator/user proper access to configuration functionality. .
 Table data: 
| Priv ID | Security Privilege Name | Description |
| --- | --- | --- |
| 41000 | Allow Save Public AFE Service | Allows the user to add a Public Service. |
| 41001 | Allow Remove Public Service | Allows the user to remove a Public Service. |
| 41002 | Allow Save Private AFE Service | Allows the user to add a Private Service. |
| 41003 | Allow Remove Private AFE Service | Allows the user to remove a Private Service. |
| 41004 | Modify Master Central Priv Cfg | Allows the user to edit OpenLink Central Private configurations. |
| 41005 | Modify Master Central Pub Cfg | Allows the user to edit OpenLink Central Public configurations. |
| 41006 | Allow Available Services Menu | Allows the user to access the OpenLink Central Available Services menu. |
| 41007 | View Config Link Definitions | Allows the user to view the OpenLink Central Configuration Links |
| 41008 | Save Config By Security Group | Allows the user to save OpenLink Central ore OpenLink Sidebar Configurations by Security Group. |.
